,territoryName,null_votes,blank_votes,PS,PPD/PSD.CDS-PP.PPM,CH,B.E.,IL,ADN,PAN,R.I.R.,L,PCP-PEV,E,MAS,MPT,PCTP/MRPP,VP,PPD/PSD,CDS-PP,JPP,PTP,A,NC,PPD/PSD.CDS-PP,PPM
LOCAL-101504,Carnide,9,17,134.0,,83.0,16.0,32.0,3.0,6.0,3.0,4.0,7.0,2.0,0.0,0.0,,1.0,476.0,8.0,,0.0,,3.0,,
LOCAL-101505,Carriço,35,30,571.0,,142.0,58.0,64.0,3.0,24.0,14.0,5.0,31.0,1.0,2.0,1.0,,2.0,648.0,34.0,,0.0,,0.0,,
LOCAL-101518,"Guia, Ilha e Mata Mourisca",49,69,898.0,,243.0,121.0,124.0,12.0,29.0,16.0,26.0,36.0,1.0,7.0,7.0,,1.0,1410.0,82.0,,3.0,,4.0,,
LOCAL-101506,Louriçal,41,54,751.0,,125.0,105.0,70.0,2.0,33.0,15.0,18.0,47.0,3.0,2.0,2.0,,4.0,805.0,32.0,,1.0,,1.0,,
LOCAL-101515,Meirinhas,7,17,165.0,,112.0,23.0,81.0,6.0,2.0,5.0,8.0,6.0,2.0,1.0,1.0,,2.0,521.0,17.0,,0.0,,1.0,,
LOCAL-101508,Pelariga,5,11,335.0,,83.0,35.0,54.0,4.0,3.0,8.0,9.0,9.0,1.0,1.0,0.0,,2.0,419.0,16.0,,1.0,,2.0,,
LOCAL-101509,Pombal,70,183,2707.0,,595.0,377.0,436.0,25.0,88.0,41.0,88.0,151.0,1.0,12.0,16.0,,5.0,2642.0,144.0,,4.0,,2.0,,
LOCAL-101510,Redinha,8,19,434.0,,78.0,32.0,26.0,1.0,14.0,6.0,1.0,5.0,0.0,2.0,1.0,,2.0,290.0,23.0,,0.0,,0.0,,
LOCAL-101519,Santiago e S.Simão de Litém e Albergaria dos Doze,26,40,706.0,,179.0,87.0,114.0,3.0,38.0,10.0,21.0,50.0,0.0,2.0,5.0,,7.0,923.0,48.0,,0.0,,5.0,,
LOCAL-101513,Vermoil,18,29,353.0,,126.0,32.0,60.0,2.0,10.0,4.0,16.0,27.0,0.0,0.0,2.0,,4.0,602.0,28.0,,2.0,,4.0,,
LOCAL-101514,Vila Cã,8,22,164.0,,65.0,25.0,26.0,1.0,3.0,2.0,4.0,13.0,1.0,0.0,1.0,,0.0,295.0,22.0,,0.0,,3.0,,
LOCAL-101602,Alqueidão da Serra,9,20,332.0,,58.0,59.0,40.0,0.0,13.0,9.0,13.0,22.0,1.0,0.0,1.0,,1.0,306.0,18.0,,1.0,,1.0,,
LOCAL-101615,Alvados e Alcaria,2,3,98.0,,33.0,18.0,21.0,4.0,3.0,1.0,0.0,8.0,1.0,0.0,0.0,,0.0,221.0,16.0,,0.0,,0.0,,
LOCAL-101616,Arrimal e Mendiga,13,23,219.0,,102.0,21.0,33.0,2.0,9.0,5.0,5.0,15.0,0.0,1.0,3.0,,1.0,447.0,26.0,,0.0,,0.0,,
LOCAL-101605,Calvaria de Cima,18,25,471.0,,124.0,65.0,67.0,4.0,25.0,2.0,5.0,22.0,2.0,1.0,2.0,,1.0,355.0,27.0,,1.0,,1.0,,
LOCAL-101606,Juncal,23,15,610.0,,147.0,66.0,90.0,0.0,13.0,10.0,11.0,26.0,2.0,2.0,1.0,,2.0,601.0,34.0,,1.0,,3.0,,
LOCAL-101608,Mira de Aire,30,24,704.0,,177.0,67.0,104.0,5.0,31.0,12.0,6.0,43.0,0.0,3.0,5.0,,4.0,537.0,20.0,,1.0,,4.0,,
LOCAL-101609,Pedreiras,19,27,501.0,,144.0,45.0,77.0,1.0,16.0,2.0,8.0,25.0,0.0,1.0,0.0,,5.0,517.0,23.0,,1.0,,4.0,,
LOCAL-101614,Porto de Mós - São João Baptista e São Pedro,33,50,1029.0,,291.0,156.0,185.0,12.0,27.0,8.0,29.0,57.0,0.0,0.0,2.0,,4.0,1222.0,58.0,,0.0,,6.0,,
LOCAL-101610,São Bento,7,3,54.0,,57.0,4.0,16.0,0.0,2.0,0.0,4.0,4.0,1.0,1.0,0.0,,3.0,268.0,17.0,,0.0,,1.0,,
LOCAL-101613,Serro Ventoso,5,10,125.0,,78.0,17.0,23.0,1.0,2.0,5.0,5.0,8.0,0.0,1.0,0.0,,0.0,233.0,15.0,,1.0,,0.0,,
LOCAL-110117,Abrigada e Cabanas de Torres,13,25,1092.0,,195.0,109.0,84.0,2.0,21.0,11.0,24.0,244.0,0.0,0.0,3.0,23.0,3.0,383.0,32.0,5.0,1.0,2.0,1.0,,
LOCAL-110118,Aldeia Galega da Merceana e Aldeia Gavinha,11,17,700.0,,164.0,61.0,60.0,0.0,17.0,7.0,21.0,124.0,0.0,0.0,1.0,14.0,1.0,317.0,21.0,1.0,0.0,0.0,1.0,,
LOCAL-110119,Alenquer (Santo Estêvão e Triana),40,92,2626.0,,589.0,314.0,394.0,11.0,95.0,22.0,127.0,400.0,5.0,5.0,12.0,33.0,13.0,1405.0,104.0,6.0,1.0,1.0,1.0,,
LOCAL-110106,Carnota,5,11,386.0,,73.0,29.0,25.0,3.0,15.0,5.0,9.0,54.0,0.0,1.0,1.0,10.0,1.0,210.0,12.0,0.0,1.0,1.0,0.0,,
LOCAL-110120,Carregado e Cadafais,54,64,2458.0,,674.0,356.0,278.0,11.0,94.0,25.0,88.0,406.0,5.0,9.0,7.0,42.0,7.0,1124.0,81.0,7.0,6.0,0.0,7.0,,
LOCAL-110107,Meca,4,6,466.0,,56.0,29.0,25.0,2.0,6.0,6.0,8.0,76.0,0.0,0.0,0.0,10.0,0.0,176.0,15.0,2.0,0.0,2.0,1.0,,
LOCAL-110108,Olhalvo,7,6,489.0,,109.0,42.0,44.0,0.0,10.0,7.0,8.0,76.0,0.0,3.0,1.0,17.0,0.0,240.0,17.0,1.0,1.0,0.0,0.0,,
LOCAL-110109,Ota,7,3,280.0,,90.0,31.0,14.0,1.0,12.0,0.0,4.0,51.0,0.0,0.0,0.0,9.0,0.0,106.0,21.0,0.0,0.0,1.0,0.0,,
LOCAL-110121,Ribafria e Pereiro de Palhacana,5,13,392.0,,75.0,34.0,20.0,0.0,17.0,6.0,8.0,54.0,0.0,0.0,0.0,5.0,0.0,169.0,15.0,6.0,2.0,0.0,1.0,,
LOCAL-110113,Ventosa,14,17,569.0,,88.0,42.0,33.0,1.0,12.0,3.0,5.0,42.0,0.0,1.0,2.0,6.0,0.0,259.0,19.0,0.0,0.0,0.0,3.0,,
LOCAL-110114,Vila Verde dos Francos,5,3,270.0,,45.0,22.0,11.0,1.0,2.0,3.0,3.0,24.0,0.0,1.0,0.0,4.0,0.0,121.0,6.0,1.0,0.0,0.0,0.0,,
LOCAL-111513,Águas Livres,178,149,8765.0,,1260.0,911.0,919.0,49.0,359.0,50.0,319.0,1049.0,19.0,28.0,31.0,77.0,24.0,3362.0,218.0,16.0,8.0,11.0,14.0,,
LOCAL-111512,Alfragide,53,87,3499.0,,640.0,446.0,947.0,24.0,171.0,10.0,290.0,343.0,5.0,16.0,8.0,42.0,7.0,2550.0,146.0,1.0,3.0,8.0,3.0,,
LOCAL-111514,Encosta do Sol,153,111,6448.0,,954.0,593.0,553.0,30.0,218.0,36.0,234.0,738.0,8.0,23.0,17.0,70.0,18.0,2068.0,186.0,10.0,20.0,6.0,8.0,,
LOCAL-111515,Falagueira-Venda Nova,107,72,5044.0,,767.0,518.0,476.0,27.0,202.0,26.0,181.0,694.0,8.0,15.0,14.0,61.0,11.0,1645.0,95.0,12.0,4.0,12.0,11.0,,
LOCAL-111516,Mina de Água,201,193,9864.0,,1912.0,1061.0,1128.0,39.0,450.0,55.0,368.0,1173.0,9.0,27.0,34.0,118.0,18.0,3899.0,245.0,15.0,9.0,14.0,15.0,,
LOCAL-111517,Venteira,86,142,5972.0,,905.0,673.0,703.0,37.0,292.0,34.0,267.0,828.0,7.0,22.0,17.0,46.0,19.0,2627.0,166.0,9.0,6.0,6.0,12.0,,
LOCAL-110201,Arranhó,26,11,633.0,,121.0,47.0,55.0,2.0,10.0,3.0,18.0,47.0,0.0,0.0,1.0,2.0,0.0,383.0,12.0,1.0,0.0,1.0,0.0,,
LOCAL-110202,Arruda dos Vinhos,40,63,2105.0,,440.0,198.0,395.0,3.0,85.0,19.0,91.0,268.0,5.0,6.0,5.0,19.0,2.0,1239.0,88.0,3.0,2.0,4.0,2.0,,
LOCAL-110203,Cardosas,2,6,199.0,,49.0,15.0,25.0,2.0,10.0,3.0,6.0,22.0,0.0,2.0,1.0,0.0,0.0,117.0,5.0,0.0,1.0,0.0,0.0,,
LOCAL-110204,São Tiago dos Velhos,8,1,344.0,,66.0,33.0,45.0,1.0,10.0,7.0,10.0,20.0,2.0,2.0,1.0,5.0,0.0,171.0,8.0,0.0,0.0,1.0,2.0,,
LOCAL-110301,Alcoentre,8,12,523.0,,165.0,62.0,39.0,5.0,4.0,3.0,24.0,66.0,0.0,2.0,1.0,5.0,1.0,279.0,11.0,0.0,4.0,3.0,1.0,,
LOCAL-110302,Aveiras de Baixo,7,8,310.0,,74.0,35.0,38.0,2.0,11.0,3.0,4.0,56.0,2.0,3.0,1.0,11.0,1.0,158.0,9.0,1.0,0.0,0.0,0.0,,
LOCAL-110303,Aveiras de Cima,36,15,997.0,,170.0,131.0,73.0,5.0,24.0,8.0,19.0,195.0,1.0,2.0,2.0,15.0,3.0,318.0,29.0,2.0,1.0,0.0,0.0,,
LOCAL-110304,Azambuja,39,44,1594.0,,405.0,238.0,221.0,9.0,51.0,12.0,66.0,271.0,1.0,5.0,5.0,27.0,2.0,842.0,67.0,8.0,2.0,1.0,6.0,,
LOCAL-110310,"Manique do Intendente, V.N.de S.Pedro e Maçussa",10,17,519.0,,90.0,56.0,35.0,2.0,16.0,8.0,46.0,127.0,1.0,1.0,4.0,14.0,0.0,214.0,8.0,1.0,0.0,0.0,0.0,,
LOCAL-110306,Vale do Paraíso,7,3,268.0,,40.0,38.0,7.0,0.0,5.0,3.0,8.0,45.0,1.0,3.0,0.0,5.0,0.0,99.0,5.0,0.0,0.0,0.0,0.0,,
LOCAL-110307,Vila Nova da Rainha,2,10,243.0,,66.0,17.0,20.0,0.0,2.0,2.0,6.0,33.0,1.0,0.0,0.0,2.0,0.0,72.0,5.0,0.0,0.0,1.0,0.0,,
LOCAL-110401,Alguber,6,3,197.0,,35.0,16.0,18.0,0.0,3.0,0.0,6.0,12.0,0.0,0.0,0.0,4.0,0.0,136.0,2.0,0.0,0.0,0.0,0.0,,
LOCAL-110411,Cadaval e Pêro Moniz,26,22,685.0,,130.0,77.0,74.0,6.0,12.0,2.0,23.0,68.0,2.0,2.0,2.0,9.0,1.0,490.0,25.0,3.0,1.0,0.0,0.0,,
LOCAL-110412,Lamas e Cercal,26,28,862.0,,148.0,63.0,44.0,2.0,19.0,12.0,19.0,54.0,1.0,2.0,2.0,9.0,1.0,481.0,21.0,1.0,0.0,0.0,0.0,,
LOCAL-110413,Painho e Figueiros,8,14,389.0,,66.0,30.0,29.0,1.0,11.0,1.0,6.0,31.0,0.0,0.0,0.0,3.0,0.0,261.0,10.0,1.0,1.0,0.0,0.0,,
LOCAL-110407,Peral,5,4,209.0,,49.0,23.0,18.0,1.0,10.0,3.0,3.0,15.0,1.0,0.0,0.0,2.0,1.0,148.0,15.0,0.0,0.0,0.0,0.0,,
LOCAL-110409,Vermelha,6,12,292.0,,39.0,16.0,24.0,5.0,6.0,4.0,10.0,14.0,0.0,1.0,0.0,1.0,0.0,200.0,10.0,0.0,0.0,0.0,1.0,,
LOCAL-110410,Vilar,9,20,302.0,,96.0,37.0,38.0,2.0,7.0,3.0,9.0,26.0,1.0,1.0,3.0,2.0,0.0,319.0,12.0,0.0,1.0,0.0,1.0,,
LOCAL-110501,Alcabideche,157,195,7695.0,,1918.0,844.0,1961.0,57.0,387.0,40.0,326.0,617.0,23.0,20.0,37.0,88.0,20.0,5789.0,367.0,10.0,15.0,10.0,17.0,,
LOCAL-110507,Carcavelos e Parede,137,255,8390.0,,1596.0,1160.0,2830.0,98.0,640.0,52.0,846.0,909.0,10.0,26.0,31.0,51.0,33.0,8097.0,554.0,5.0,5.0,11.0,23.0,,
LOCAL-110508,Cascais e Estoril,161,222,8545.0,,2873.0,1079.0,4257.0,112.0,621.0,54.0,717.0,814.0,19.0,27.0,33.0,70.0,40.0,11421.0,976.0,20.0,9.0,19.0,14.0,,
LOCAL-110506,São Domingos de Rana,251,358,12773.0,,2551.0,1394.0,2404.0,108.0,719.0,96.0,613.0,1341.0,27.0,44.0,45.0,140.0,30.0,7273.0,403.0,41.0,11.0,24.0,25.0,,
LOCAL-110601,Ajuda,57,68,3654.0,,415.0,354.0,545.0,28.0,137.0,18.0,212.0,515.0,7.0,11.0,11.0,37.0,10.0,1411.0,90.0,4.0,1.0,2.0,6.0,,
LOCAL-110602,Alcântara,33,53,2911.0,,396.0,342.0,689.0,26.0,117.0,13.0,276.0,405.0,8.0,8.0,7.0,25.0,9.0,1622.0,145.0,2.0,2.0,14.0,2.0,,
LOCAL-110654,Alvalade,96,146,6255.0,,1036.0,882.0,2752.0,46.0,385.0,28.0,973.0,832.0,10.0,21.0,16.0,32.0,40.0,6696.0,608.0,7.0,3.0,4.0,7.0,,
LOCAL-110655,Areeiro,66,80,3699.0,,660.0,548.0,1724.0,32.0,227.0,12.0,634.0,501.0,6.0,16.0,14.0,22.0,23.0,4424.0,373.0,4.0,1.0,6.0,6.0,,
LOCAL-110656,Arroios,90,111,5375.0,,693.0,1150.0,1585.0,38.0,377.0,16.0,987.0,970.0,5.0,21.0,16.0,40.0,26.0,3893.0,318.0,9.0,5.0,3.0,11.0,,
LOCAL-110657,Avenidas Novas,59,78,3710.0,,729.0,521.0,2409.0,29.0,177.0,20.0,588.0,472.0,6.0,12.0,8.0,16.0,26.0,5045.0,591.0,3.0,3.0,7.0,2.0,,
LOCAL-110607,Beato,74,42,2783.0,,453.0,321.0,318.0,21.0,122.0,9.0,161.0,373.0,7.0,6.0,8.0,35.0,2.0,1113.0,101.0,6.0,4.0,2.0,11.0,,
LOCAL-110658,Belém,34,71,2601.0,,559.0,306.0,1518.0,19.0,119.0,7.0,375.0,337.0,4.0,11.0,8.0,20.0,12.0,3481.0,371.0,3.0,0.0,1.0,0.0,,
LOCAL-110608,Benfica,130,174,8984.0,,1111.0,972.0,1681.0,78.0,370.0,31.0,697.0,987.0,11.0,23.0,26.0,59.0,24.0,5529.0,341.0,10.0,3.0,7.0,10.0,,
LOCAL-110659,Campo de Ourique,85,108,4181.0,,631.0,527.0,1559.0,37.0,236.0,18.0,541.0,566.0,9.0,8.0,17.0,40.0,26.0,3569.0,352.0,8.0,0.0,9.0,6.0,,
LOCAL-110610,Campolide,57,63,3080.0,,439.0,351.0,848.0,11.0,135.0,13.0,281.0,366.0,6.0,9.0,11.0,31.0,10.0,2079.0,158.0,4.0,1.0,8.0,6.0,,
LOCAL-110611,Carnide,73,88,4161.0,,599.0,420.0,1100.0,16.0,183.0,19.0,351.0,546.0,5.0,11.0,9.0,58.0,9.0,2952.0,180.0,5.0,4.0,9.0,8.0,,
LOCAL-110660,Estrela,32,65,2835.0,,574.0,378.0,1572.0,19.0,151.0,15.0,364.0,370.0,7.0,6.0,6.0,21.0,16.0,3550.0,498.0,123.0,70.0,13.0,3.0,,
LOCAL-110618,Lumiar,121,216,8784.0,,1352.0,1041.0,3810.0,58.0,492.0,55.0,1112.0,1009.0,13.0,25.0,24.0,61.0,47.0,9640.0,730.0,11.0,6.0,13.0,15.0,,
LOCAL-110621,Marvila,179,130,9425.0,,1707.0,904.0,715.0,35.0,319.0,56.0,283.0,992.0,11.0,23.0,26.0,124.0,16.0,2535.0,165.0,19.0,41.0,10.0,22.0,,
LOCAL-110661,Misericórdia,26,37,2047.0,,246.0,345.0,567.0,14.0,117.0,9.0,252.0,298.0,5.0,6.0,8.0,27.0,8.0,1183.0,163.0,1.0,6.0,2.0,3.0,,
LOCAL-110633,Olivais,117,164,7801.0,,1217.0,917.0,1289.0,42.0,399.0,43.0,542.0,1067.0,16.0,22.0,21.0,92.0,22.0,4082.0,297.0,11.0,4.0,6.0,10.0,,
LOCAL-110662,Parque das Nações,65,97,4083.0,,585.0,415.0,1525.0,25.0,218.0,13.0,399.0,383.0,3.0,10.0,9.0,30.0,18.0,3890.0,173.0,7.0,5.0,3.0,13.0,,
LOCAL-110663,Penha de França,112,118,5919.0,,740.0,1091.0,931.0,31.0,325.0,25.0,679.0,920.0,6.0,25.0,15.0,60.0,23.0,2926.0,170.0,9.0,9.0,8.0,6.0,,
LOCAL-110664,Santa Clara,83,86,4759.0,,1062.0,414.0,693.0,20.0,162.0,29.0,222.0,452.0,6.0,20.0,19.0,55.0,19.0,1983.0,140.0,11.0,8.0,6.0,11.0,,
LOCAL-110665,Santa Maria Maior,35,29,2020.0,,218.0,282.0,286.0,8.0,88.0,9.0,175.0,359.0,4.0,7.0,5.0,37.0,5.0,737.0,95.0,7.0,3.0,1.0,2.0,,
LOCAL-110666,Santo António,16,49,1915.0,,278.0,323.0,906.0,19.0,104.0,9.0,312.0,292.0,4.0,7.0,7.0,12.0,9.0,2052.0,253.0,3.0,0.0,3.0,6.0,,
LOCAL-110639,São Domingos de Benfica,85,147,6859.0,,956.0,792.0,2705.0,47.0,397.0,18.0,866.0,796.0,9.0,16.0,18.0,35.0,27.0,7352.0,535.0,4.0,3.0,4.0,9.0,,
LOCAL-110667,São Vicente,45,47,2718.0,,300.0,514.0,425.0,15.0,169.0,9.0,355.0,519.0,2.0,15.0,6.0,33.0,10.0,1265.0,88.0,4.0,2.0,8.0,2.0,,
LOCAL-110702,Bucelas,14,25,1270.0,,187.0,92.0,97.0,3.0,34.0,20.0,37.0,209.0,1.0,1.0,3.0,10.0,0.0,420.0,30.0,2.0,0.0,2.0,1.0,,
LOCAL-110731,"Camarate, Unhos e Apelação",167,129,7988.0,,1636.0,550.0,444.0,31.0,221.0,44.0,138.0,1089.0,13.0,21.0,21.0,117.0,11.0,2011.0,136.0,18.0,17.0,5.0,19.0,,
LOCAL-110705,Fanhões,19,16,606.0,,160.0,39.0,71.0,2.0,26.0,1.0,21.0,143.0,0.0,1.0,1.0,12.0,0.0,304.0,12.0,4.0,0.0,0.0,0.0,,
LOCAL-110707,Loures,105,188,6886.0,,1573.0,682.0,1115.0,33.0,331.0,51.0,276.0,1056.0,7.0,16.0,23.0,88.0,15.0,3722.0,191.0,14.0,6.0,6.0,8.0,,
LOCAL-110708,Lousa,16,17,669.0,,122.0,66.0,78.0,5.0,35.0,4.0,21.0,108.0,2.0,3.0,2.0,4.0,1.0,416.0,18.0,1.0,0.0,1.0,0.0,,
LOCAL-110726,Moscavide e Portela,62,111,4726.0,,632.0,484.0,1013.0,39.0,193.0,13.0,291.0,608.0,1.0,12.0,11.0,32.0,16.0,3452.0,189.0,8.0,4.0,5.0,5.0,,
LOCAL-110727,Sacavém e Prior Velho,95,105,5792.0,,896.0,522.0,802.0,34.0,228.0,22.0,219.0,938.0,6.0,14.0,12.0,50.0,9.0,2423.0,141.0,6.0,7.0,3.0,4.0,,
LOCAL-110728,"Santa Iria de Azoia, São João da Talha e Bobadela",233,280,11941.0,,2072.0,1095.0,1215.0,50.0,503.0,65.0,308.0,2261.0,19.0,44.0,30.0,141.0,22.0,4323.0,232.0,14.0,9.0,13.0,11.0,,
LOCAL-110729,Santo Antão e São Julião do Tojal,54,46,2050.0,,398.0,154.0,224.0,11.0,60.0,5.0,69.0,469.0,4.0,13.0,3.0,36.0,4.0,747.0,38.0,4.0,3.0,1.0,1.0,,
LOCAL-110730,Santo António dos Cavaleiros e Frielas,107,142,6609.0,,1199.0,755.0,863.0,35.0,302.0,31.0,249.0,851.0,7.0,14.0,16.0,53.0,20.0,2611.0,124.0,10.0,5.0,9.0,13.0,,
LOCAL-110812,Lourinhã e Atalaia,70,92,2314.0,,687.0,285.0,307.0,19.0,119.0,33.0,85.0,175.0,9.0,9.0,5.0,27.0,4.0,2074.0,100.0,7.0,4.0,2.0,2.0,,
LOCAL-110813,Miragaia e Marteleira,37,23,721.0,,200.0,69.0,64.0,3.0,35.0,16.0,17.0,32.0,0.0,1.0,1.0,5.0,2.0,628.0,27.0,1.0,1.0,0.0,1.0,,
LOCAL-110803,Moita dos Ferreiros,15,10,257.0,,111.0,16.0,19.0,3.0,4.0,4.0,7.0,12.0,2.0,0.0,0.0,1.0,0.0,289.0,29.0,2.0,0.0,0.0,1.0,,
LOCAL-110805,Reguengo Grande,15,15,294.0,,103.0,30.0,19.0,2.0,12.0,3.0,9.0,35.0,1.0,0.0,1.0,5.0,1.0,209.0,7.0,1.0,0.0,0.0,0.0,,
LOCAL-110810,Ribamar,19,19,351.0,,125.0,36.0,52.0,10.0,7.0,3.0,5.0,23.0,1.0,0.0,4.0,3.0,3.0,385.0,33.0,0.0,0.0,2.0,0.0,,
LOCAL-110806,Santa Bárbara,12,17,357.0,,144.0,39.0,51.0,8.0,15.0,6.0,8.0,19.0,0.0,1.0,2.0,4.0,0.0,412.0,28.0,0.0,0.0,0.0,0.0,,
LOCAL-110814,São Bartolomeu dos Galegos e Moledo,9,9,261.0,,98.0,40.0,26.0,4.0,8.0,7.0,8.0,23.0,2.0,1.0,0.0,4.0,2.0,255.0,11.0,0.0,1.0,1.0,1.0,,
LOCAL-110808,Vimeiro,10,17,254.0,,106.0,34.0,27.0,0.0,17.0,4.0,13.0,25.0,0.0,1.0,2.0,1.0,0.0,244.0,15.0,1.0,0.0,0.0,0.0,,
LOCAL-110918,Azueira e Sobral da Abelheira,30,43,1075.0,,211.0,68.0,123.0,16.0,24.0,10.0,23.0,57.0,1.0,8.0,4.0,10.0,2.0,573.0,34.0,4.0,1.0,4.0,0.0,,
LOCAL-110902,Carvoeira,10,11,501.0,,114.0,86.0,117.0,8.0,54.0,2.0,39.0,80.0,0.0,4.0,3.0,3.0,1.0,368.0,25.0,1.0,0.0,1.0,2.0,,
LOCAL-110904,Encarnação,22,40,774.0,,204.0,82.0,142.0,8.0,36.0,7.0,46.0,41.0,7.0,1.0,6.0,8.0,2.0,991.0,39.0,2.0,0.0,2.0,1.0,,
LOCAL-110919,"Enxara do Bispo, Gradil e Vila Franca do Rosário",16,30,820.0,,165.0,75.0,100.0,4.0,22.0,5.0,21.0,68.0,1.0,0.0,1.0,9.0,3.0,483.0,21.0,2.0,1.0,5.0,1.0,,
LOCAL-110906,Ericeira,42,71,2172.0,,496.0,310.0,536.0,29.0,132.0,15.0,172.0,212.0,5.0,8.0,13.0,13.0,5.0,1659.0,70.0,6.0,2.0,4.0,4.0,,
LOCAL-110920,Igreja Nova e Cheleiros,36,35,922.0,,212.0,98.0,159.0,12.0,58.0,11.0,35.0,68.0,0.0,1.0,4.0,3.0,2.0,706.0,20.0,2.0,0.0,5.0,1.0,,
LOCAL-110909,Mafra,112,181,3965.0,,895.0,554.0,880.0,50.0,255.0,34.0,237.0,336.0,13.0,11.0,20.0,33.0,14.0,2887.0,137.0,5.0,1.0,5.0,8.0,,
LOCAL-110921,Malveira e São Miguel de Alcainça,31,63,1759.0,,434.0,217.0,332.0,14.0,101.0,14.0,73.0,169.0,5.0,7.0,3.0,22.0,3.0,1239.0,64.0,4.0,1.0,5.0,6.0,,
LOCAL-110911,Milharado,49,57,1660.0,,390.0,161.0,318.0,9.0,60.0,27.0,55.0,116.0,5.0,4.0,8.0,12.0,3.0,1141.0,69.0,1.0,2.0,8.0,2.0,,
LOCAL-110913,Santo Isidoro,32,41,857.0,,184.0,100.0,175.0,11.0,66.0,6.0,53.0,68.0,1.0,0.0,6.0,11.0,2.0,712.0,18.0,3.0,0.0,2.0,1.0,,
LOCAL-110922,Venda do Pinheiro e Santo Estêvão das Galés,68,96,2304.0,,556.0,248.0,459.0,24.0,131.0,18.0,111.0,226.0,1.0,5.0,11.0,21.0,3.0,1616.0,71.0,3.0,1.0,7.0,9.0,,
LOCAL-111603,Odivelas,281,295,13903.0,,2387.0,1410.0,2027.0,74.0,630.0,76.0,599.0,1384.0,17.0,30.0,26.0,106.0,26.0,6584.0,359.0,15.0,13.0,18.0,21.0,,
LOCAL-111608,Pontinha e Famões,213,201,8735.0,,1791.0,735.0,917.0,47.0,390.0,56.0,285.0,853.0,17.0,19.0,22.0,88.0,27.0,3432.0,211.0,21.0,10.0,10.0,17.0,,
LOCAL-111609,Póvoa de Santo Adrião e Olival Basto,92,72,4316.0,,720.0,427.0,405.0,26.0,176.0,27.0,124.0,482.0,4.0,15.0,13.0,41.0,13.0,1712.0,83.0,3.0,5.0,5.0,8.0,,
LOCAL-111610,Ramada e Caneças,192,216,8099.0,,1851.0,862.0,1278.0,46.0,435.0,50.0,334.0,798.0,15.0,24.0,27.0,75.0,23.0,4210.0,195.0,8.0,14.0,18.0,7.0,,
LOCAL-111012,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",132,240,9514.0,,1438.0,1253.0,3189.0,78.0,544.0,46.0,947.0,1197.0,9.0,28.0,24.0,53.0,21.0,8287.0,637.0,8.0,7.0,13.0,21.0,,
LOCAL-111002,Barcarena,54,104,3316.0,,607.0,415.0,761.0,17.0,224.0,23.0,184.0,415.0,6.0,12.0,13.0,36.0,7.0,2022.0,112.0,4.0,1.0,7.0,9.0,,
LOCAL-111013,Carnaxide e Queijas,141,243,7769.0,,1092.0,859.0,1952.0,96.0,474.0,41.0,562.0,1012.0,9.0,46.0,24.0,54.0,40.0,5576.0,284.0,33.0,6.0,17.0,13.0,,
LOCAL-111014,"Oeiras e S.Julião da Barra, Paço de Arcos e Caxias",210,349,11786.0,,1937.0,1625.0,3487.0,111.0,764.0,61.0,1098.0,1283.0,13.0,33.0,33.0,87.0,38.0,9612.0,785.0,13.0,8.0,24.0,24.0,,
LOCAL-111009,Porto Salvo,77,117,3566.0,,539.0,402.0,619.0,28.0,192.0,27.0,176.0,315.0,5.0,10.0,12.0,23.0,7.0,1644.0,97.0,9.0,3.0,11.0,5.0,,
LOCAL-111122,Agualva e Mira-Sintra,188,167,9237.0,,1861.0,969.0,771.0,44.0,397.0,55.0,313.0,941.0,23.0,24.0,28.0,104.0,16.0,3230.0,204.0,18.0,8.0,15.0,28.0,,
LOCAL-111102,Algueirão-Mem Martins,283,360,13750.0,,3222.0,1835.0,2031.0,106.0,787.0,95.0,600.0,1448.0,32.0,33.0,51.0,138.0,37.0,6278.0,414.0,23.0,13.0,14.0,39.0,,
LOCAL-111123,"Almargem do Bispo, Pêro Pinheiro e Montelavar",100,122,3826.0,,948.0,340.0,490.0,30.0,179.0,27.0,88.0,395.0,9.0,14.0,15.0,42.0,14.0,2220.0,134.0,7.0,4.0,10.0,17.0,,
LOCAL-111124,Cacém e São Marcos,175,225,8365.0,,1692.0,965.0,957.0,51.0,437.0,53.0,296.0,845.0,26.0,21.0,24.0,82.0,24.0,2919.0,190.0,29.0,9.0,2.0,30.0,,
LOCAL-111115,Casal de Cambra,84,66,2955.0,,604.0,257.0,285.0,13.0,118.0,22.0,59.0,211.0,7.0,11.0,6.0,29.0,5.0,1051.0,90.0,5.0,6.0,6.0,4.0,,
LOCAL-111105,Colares,27,56,1443.0,,336.0,194.0,328.0,25.0,110.0,11.0,98.0,162.0,5.0,3.0,4.0,20.0,3.0,1271.0,106.0,2.0,0.0,0.0,7.0,,
LOCAL-111125,Massamá e Monte Abraão,174,269,10971.0,,1912.0,1356.0,1477.0,71.0,481.0,54.0,545.0,1185.0,15.0,36.0,20.0,100.0,29.0,5183.0,269.0,20.0,2.0,10.0,24.0,,
LOCAL-111126,Queluz e Belas,206,236,11096.0,,2394.0,1336.0,1653.0,61.0,599.0,54.0,486.0,1305.0,24.0,24.0,37.0,115.0,35.0,4849.0,325.0,20.0,11.0,13.0,17.0,,
